yyyy  mm  dd  HH MIN   SEC          u          v          w          T
2008   5   9   5   0 16.70    2.54947    0.38898   -0.08608  288.24722
2008   5   9   5   0 16.80    2.69944    0.23097   -0.36813  288.30824
2008   5   9   5   0 16.90    2.57563    0.39764    0.13202  288.22626
2008   5   9   5   0 17.00    2.59241    0.20791    0.08283  288.26028
2008   5   9   5   0 17.10    2.48036    0.43827    0.07459  288.26530
2008   5   9   5   0 17.20    2.51203    0.12787    0.13301  288.22633
2008   5   9   5   0 17.30    2.66550    0.20703    0.18274  288.22435
2008   5   9   5   0 17.40    2.33417    0.23003    0.03500  288.26537
2008   5   9   5   0 17.50    2.53767    0.27898    0.04273  288.28039
2008   5   9   5   0 17.60    2.72657    0.24801    0.07104  288.19541
2008   5   9   5   0 17.70    2.77603    0.18935   -0.06547  288.14343
2008   5   9   5   0 17.80    2.66028    0.06933    0.22222  288.10245
2008   5   9   5   0 17.90    2.64678    0.43021    0.05233  288.04047
2008   5   9   5   0 18.00    2.80664    0.33554    0.05955  288.08949
2008   5   9   5   0 18.10    2.86306    0.42456    0.22037  288.02051
2008   5   9   5   0 18.20    2.41950    0.51511    0.49144  288.05753
2008   5   9   5   0 18.30    2.31484    0.29343    0.25465  288.04255
2008   5   9   5   0 18.40    2.31384    0.20105    0.18433  288.03557
2008   5   9   5   0 18.50    2.44241    0.48325   -0.03755  288.30859
2008   5   9   5   0 18.60    2.29306    0.49602   -0.07782  288.12661
2008   5   9   5   0 18.70    2.04557    0.52073   -0.09268  288.20063
2008   5   9   5   0 18.80    2.49492    0.18363   -0.19755  288.24565
2008   5   9   5   0 18.90    2.46658    0.27907   -0.15568  288.14366
2008   5   9   5   0 19.00    2.48350    0.47388    0.01048  288.17668
2008   5   9   5   0 19.10    2.67392    0.14479   -0.08866  288.14370
2008   5   9   5   0 19.20    2.61578    0.33912   -0.04736  288.14172
2008   5   9   5   0 19.30    2.63507    0.30987   -0.03943  288.14174
2008   5   9   5   0 19.40    2.59339    0.24453   -0.07731  288.14675
