           freq              Su              Sv              Sw
       2.939747        0.002288        0.003346        0.002602
       2.987443        0.001999        0.002746        0.002910
       3.035913        0.001797        0.002749        0.002706
       3.085169        0.002063        0.002571        0.002703
       3.135225        0.001552        0.002664        0.001973
       3.186093        0.001579        0.001913        0.002147
       3.237786        0.001721        0.002278        0.002140
       3.290317        0.001630        0.002007        0.002019
       3.343702        0.001606        0.002083        0.001964
       3.397952        0.001576        0.002390        0.002379
       3.453082        0.001781        0.002027        0.002039
       3.509107        0.001668        0.001878        0.001872
       3.566041        0.001507        0.001704        0.001932
       3.623898        0.001195        0.001653        0.002018
       3.682695        0.001532        0.001707        0.002388
       3.742445        0.001291        0.001740        0.001666
       3.803164        0.001210        0.001910        0.001798
       3.864869        0.001055        0.001663        0.001424
       3.927575        0.001290        0.001143        0.001926
       3.991298        0.001389        0.001669        0.001450
       4.056056        0.001242        0.001496        0.001284
       4.121863        0.001058        0.001392        0.001749
       4.188739        0.001162        0.001819        0.001294
       4.256700        0.000993        0.002080        0.001585
       4.325763        0.000870        0.001529        0.001544
       4.395947        0.000940        0.001257        0.001185
       4.467269        0.000915        0.001249        0.001172
       4.539749        0.001113        0.001261        0.001208
       4.613404        0.000937        0.000983        0.001312
       4.688255        0.000879        0.001529        0.001233
       4.764320        0.000898        0.001269        0.001082
       4.841619        0.000947        0.001063        0.001062
       4.920172        0.000834        0.000905        0.001098
       5.000000        0.000826        0.001121        0.001552
